id,url,do_not_use
24914,https://upload.wikimedia.org/wikipedia/commons/2/2e/Official_portrait_of_Rt_Hon_Mel_Stride_MP_crop_2.jpg,1
10577,https://upload.wikimedia.org/wikipedia/commons/5/51/Baroness_Gisela_Stuart.jpg,1
10576,https://upload.wikimedia.org/wikipedia/commons/d/d9/Graham_Stringer_MP2010.jpg,0
11406,https://upload.wikimedia.org/wikipedia/commons/1/19/Official_portrait_of_Graham_Stuart_crop_2.jpg,1
10578,https://upload.wikimedia.org/wikipedia/commons/5/5a/Official_portrait_of_Lord_Stunell_crop_2.jpg,1
24947,https://upload.wikimedia.org/wikipedia/commons/7/7e/Official_portrait_of_Iain_Stewart_MP_crop_2.jpg,1
10575,https://upload.wikimedia.org/wikipedia/commons/2/25/Official_portrait_of_Sir_Gary_Streeter_MP_crop_2.jpg,1
24964,https://upload.wikimedia.org/wikipedia/commons/7/74/Rory_Stewart_MP_%28cropped%29.jpg,0
10650,https://upload.wikimedia.org/wikipedia/commons/b/be/Mike_Wood_%28politician%29.jpg,0
10029,https://upload.wikimedia.org/wikipedia/commons/a/a2/Hugh_Bayley.jpg,0
10648,https://upload.wikimedia.org/wikipedia/commons/0/03/Rosie_Winterton_OfficialPortrait.jpg,1
10032,https://upload.wikimedia.org/wikipedia/commons/8/87/Anne_Addresses_May_Day_Rally_in_2008.JPG,1
11333,https://upload.wikimedia.org/wikipedia/commons/7/77/Official_portrait_of_Pete_Wishart_crop_2.jpg,1
24736,https://upload.wikimedia.org/wikipedia/commons/5/59/Official_portrait_of_Guto_Bebb_crop_2.jpg,1
10034,https://upload.wikimedia.org/wikipedia/commons/1/14/Official_portrait_of_Lord_Beith_2020_crop_2.jpg,1
24761,https://upload.wikimedia.org/wikipedia/commons/0/02/Official_portrait_of_Dr_Sarah_Wollaston_crop_2.jpg,1
11374,https://upload.wikimedia.org/wikipedia/commons/d/d4/Official_portrait_of_Sammy_Wilson_crop_2.jpg,1
11773,https://upload.wikimedia.org/wikipedia/commons/a/a7/Robwilson.jpg,0
10651,https://upload.wikimedia.org/wikipedia/commons/6/69/Shaun_Woodward%2C_June_2009_cropped.jpg,0
10036,https://upload.wikimedia.org/wikipedia/commons/b/b0/Sir_Stuart_Bell_MP_black_and_white_%28cropped%29.jpg,0
24837,https://upload.wikimedia.org/wikipedia/commons/2/27/Official_portrait_of_Lord_Walney.jpg,1
10159,https://upload.wikimedia.org/wikipedia/commons/f/f2/Official_portrait_of_Geraint_Davies_MP_crop_2.jpg,1
10157,https://upload.wikimedia.org/wikipedia/commons/1/15/IanDavidsonMPPortrait.jpg,0
10842,https://upload.wikimedia.org/wikipedia/commons/2/25/Official_portrait_of_Wayne_David_MP_crop_2.jpg,1
24798,https://upload.wikimedia.org/wikipedia/commons/8/88/Official_portrait_of_Nic_Dakin_crop_2.jpg,1
10147,https://upload.wikimedia.org/wikipedia/commons/b/ba/Official_portrait_of_Mr_Jim_Cunningham_crop_2.jpg,1
24742,https://upload.wikimedia.org/wikipedia/commons/1/1c/Official_portrait_of_Alex_Cunningham_crop_2.jpg,1
24734,https://upload.wikimedia.org/wikipedia/commons/9/97/Margaret_Curran.jpg,0
10153,https://upload.wikimedia.org/wikipedia/commons/f/fb/AlistairDarlingABr_cropped.jpg,0
10155,https://upload.wikimedia.org/wikipedia/commons/d/d8/Official_portrait_of_Rt_Hon_Sir_Edward_Davey_MP_crop_2.jpg,1
11719,https://upload.wikimedia.org/wikipedia/commons/9/90/Official_portrait_of_David_T_C_Davies_MP_crop_2.jpg,1
10488,https://upload.wikimedia.org/wikipedia/commons/7/7f/John_Prescott_on_his_last_day_as_Deputy_Prime_Minister%2C_June_2007.jpg,0
10314,https://upload.wikimedia.org/wikipedia/commons/d/d5/Alan_Johnson_MP.jpg,0
10286,https://upload.wikimedia.org/wikipedia/commons/6/65/Geoff_Hoon_Headshot.jpg,0
10213,https://upload.wikimedia.org/wikipedia/commons/3/31/Official_portrait_of_Dr_Liam_Fox_crop_2.jpg,1
24830,https://upload.wikimedia.org/wikipedia/commons/a/a7/Official_portrait_of_Chris_Williamson_crop_2.jpg,1
11500,https://upload.wikimedia.org/wikipedia/commons/b/b0/Theresa_Villiers_Official_Portrait.jpg,1
24775,https://upload.wikimedia.org/wikipedia/commons/1/18/Official_portrait_of_Yasmin_Qureshi_crop_2.jpg,1
24950,https://upload.wikimedia.org/wikipedia/commons/7/73/Official_portrait_of_Chuka_Umunna_crop_2_%28cropped%29.jpg,1
24814,https://upload.wikimedia.org/wikipedia/commons/5/51/Official_portrait_of_Martin_Vickers_MP_crop_2.jpg,1
11475,https://upload.wikimedia.org/wikipedia/commons/6/64/Official_portrait_of_Mr_Shailesh_Vara_MP_crop_2.jpg,1
24886,https://upload.wikimedia.org/wikipedia/en/7/78/Pauluppal.jpg,0
10614,https://upload.wikimedia.org/wikipedia/commons/b/b1/Official_portrait_of_Keith_Vaz_crop_2.jpg,1
11905,https://upload.wikimedia.org/wikipedia/commons/0/06/Official_portrait_of_Lord_Vaizey_of_Didcot%2C_2020.jpg,1
24852,https://upload.wikimedia.org/wikipedia/commons/1/1c/Official_portrait_of_Rt_Hon_Valerie_Vaz_MP_crop_2.jpg,1
11458,https://upload.wikimedia.org/wikipedia/commons/d/d9/SWilliams_Headshot.JPG,0
10467,https://upload.wikimedia.org/wikipedia/en/4/4d/New_Sandra_Osborne.jpg,0
24832,https://upload.wikimedia.org/wikipedia/commons/1/19/Official_portrait_of_Andrew_Percy_MP_crop_2.jpg,1
24880,https://upload.wikimedia.org/wikipedia/commons/f/f9/Official_portrait_of_Mark_Pawsey_MP_crop_2.jpg,1
24962,https://upload.wikimedia.org/wikipedia/commons/c/cb/Official_portrait_of_Guy_Opperman_crop_2.jpg,1
24956,https://upload.wikimedia.org/wikipedia/commons/7/73/Teresa_Pearce.jpg,1
13852,https://upload.wikimedia.org/wikipedia/commons/0/0b/Official_portrait_of_Ian_Paisley_MP_crop_2.jpg,1
11924,https://upload.wikimedia.org/wikipedia/commons/0/02/Official_portrait_of_John_Penrose_MP_crop_2.jpg,1
10468,https://upload.wikimedia.org/wikipedia/commons/6/67/Richard_Ottaway_MP.jpg,0
